"","countryname","class_inductive","date","n_articles_day","cycle","quarter","priorelecdate","elecdate","gov_type","gov_type_aus_single","gov_type_maj_min","log_gdp_change_lag","poll_change_to_election","country_cycle","electoral_cycle","electoral_cycle_alt","days_cycle","n_articles_cycle","n_articles_prop","n_articles_day_lag"
"89","Australia","Ongoing",1996-05-30,4,38,1996-04-01,1996-03-02,1998-10-03,"Multiparty Government","Single-party Government","Majority Government",0.298326716669076,3.75,"Australia: 38",0.0941798941798942,0.0941798941798942,945,4187,0.000955337950800096,2
"90","Australia","Ongoing",1996-05-31,5,38,1996-04-01,1996-03-02,1998-10-03,"Multiparty Government","Single-party Government","Majority Government",0.298326716669076,3.75,"Australia: 38",0.0952380952380952,0.0952380952380952,945,4187,0.00119417243850012,4
"91","Australia","Ongoing",1996-06-01,6,38,1996-04-01,1996-03-02,1998-10-03,"Multiparty Government","Single-party Government","Majority Government",0.298326716669076,3.75,"Australia: 38",0.0962962962962963,0.0962962962962963,945,4187,0.00143300692620014,5
"92","Australia","Ongoing",1996-06-02,1,38,1996-04-01,1996-03-02,1998-10-03,"Multiparty Government","Single-party Government","Majority Government",0.298326716669076,3.75,"Australia: 38",0.0973544973544974,0.0973544973544974,945,4187,0.000238834487700024,6
"93","Australia","Ongoing",1996-06-03,0,38,1996-04-01,1996-03-02,1998-10-03,"Multiparty Government","Single-party Government","Majority Government",0.298326716669076,3.75,"Australia: 38",0.0984126984126984,0.0984126984126984,945,4187,0,1
"94","Australia","Ongoing",1996-06-04,0,38,1996-04-01,1996-03-02,1998-10-03,"Multiparty Government","Single-party Government","Majority Government",0.298326716669076,3.75,"Australia: 38",0.0994708994708995,0.0994708994708995,945,4187,0,0
"95","Australia","Ongoing",1996-06-05,0,38,1996-04-01,1996-03-02,1998-10-03,"Multiparty Government","Single-party Government","Majority Government",0.298326716669076,3.75,"Australia: 38",0.100529100529101,0.100529100529101,945,4187,0,0
"96","Australia","Ongoing",1996-06-06,0,38,1996-04-01,1996-03-02,1998-10-03,"Multiparty Government","Single-party Government","Majority Government",0.298326716669076,3.75,"Australia: 38",0.101587301587302,0.101587301587302,945,4187,0,0
"97","Australia","Ongoing",1996-06-07,0,38,1996-04-01,1996-03-02,1998-10-03,"Multiparty Government","Single-party Government","Majority Government",0.298326716669076,3.75,"Australia: 38",0.102645502645503,0.102645502645503,945,4187,0,0
"98","Australia","Ongoing",1996-06-08,6,38,1996-04-01,1996-03-02,1998-10-03,"Multiparty Government","Single-party Government","Majority Government",0.298326716669076,3.75,"Australia: 38",0.103703703703704,0.103703703703704,945,4187,0.00143300692620014,0
"99","Australia","Ongoing",1996-06-09,0,38,1996-04-01,1996-03-02,1998-10-03,"Multiparty Government","Single-party Government","Majority Government",0.298326716669076,3.75,"Australia: 38",0.104761904761905,0.104761904761905,945,4187,0,6
"100","Australia","Ongoing",1996-06-10,9,38,1996-04-01,1996-03-02,1998-10-03,"Multiparty Government","Single-party Government","Majority Government",0.298326716669076,3.75,"Australia: 38",0.105820105820106,0.105820105820106,945,4187,0.00214951038930021,0
"101","Australia","Ongoing",1996-06-11,0,38,1996-04-01,1996-03-02,1998-10-03,"Multiparty Government","Single-party Government","Majority Government",0.298326716669076,3.75,"Australia: 38",0.106878306878307,0.106878306878307,945,4187,0,9
"102","Australia","Ongoing",1996-06-12,0,38,1996-04-01,1996-03-02,1998-10-03,"Multiparty Government","Single-party Government","Majority Government",0.298326716669076,3.75,"Australia: 38",0.107936507936508,0.107936507936508,945,4187,0,0
"103","Australia","Ongoing",1996-06-13,2,38,1996-04-01,1996-03-02,1998-10-03,"Multiparty Government","Single-party Government","Majority Government",0.298326716669076,3.75,"Australia: 38",0.108994708994709,0.108994708994709,945,4187,0.000477668975400048,0
